date,coastal,SOI
2016-10-01,-3.573429630882935,-0.3
2016-11-01,-3.6844388134935913,-0.1
2016-12-01,-3.79186705472971,0.3
2017-01-01,-5.272003806497166,0.2
2017-02-01,-6.752140558264622,-0.1
2017-03-01,-8.089038269538454,0.9
2017-04-01,-9.56917502130591,-0.2
2017-05-01,-7.39128304902348,0.3
2017-06-01,-6.0660333783331,0.4
2017-07-01,-4.25629179424686,0.8
2017-08-01,-2.38622549069108,0.5
2017-09-01,-2.9344308143568383,0.6
2017-10-01,-3.464952095323701,0.9
2017-11-01,-4.01315741898946,0.9
2017-12-01,-4.543678699956323,-0.1
2018-01-01,-5.0918840236220815,1.1
2018-02-01,-5.64008934728784,-0.5
2018-03-01,-4.16459966743416,1.5
2018-04-01,-6.5164251302408,0.5
2018-05-01,-4.31946971569715,0.4
2018-06-01,-2.3237490162536583,0.1
2018-07-01,-0.392406403888989,0.2
2018-08-01,-0.053579990334821026,-0.3
2018-09-01,0.285246423219347,-0.9
2018-10-01,6.21201557220188,0.4
2018-11-01,4.685392400828463,-0.1
2018-12-01,3.208015138209027,1.0
2019-01-01,1.68139196683561,0.0
2019-02-01,2.52879912639972,-1.4
2019-03-01,6.14622816556123,0.3
2019-04-01,4.71657362710164,0.1
2019-05-01,5.24389772017116,-0.4
2019-06-01,1.23917802129024,0.5
2019-07-01,-0.30562345354170595,-0.4
2019-08-01,-1.90191831086805,-0.1
2019-09-01,-3.2576056316905904,-1.2
2019-10-01,-4.5695611034543395,-0.4
2019-11-01,-5.92524842427688,-0.8
2019-12-01,-5.005578617601978,-0.6
2020-01-01,-4.05525315070458,0.2
2020-02-01,-3.751608348439568,-0.1
2020-03-01,-3.46755353341746,0.1
2020-04-01,-1.9928515329750298,0.2
2020-05-01,-0.565720564804936,0.4
2020-06-01,2.169250845074827,0.4
2020-07-01,4.81599737076492,0.4
2020-08-01,4.38591706711783,1.1
2020-09-01,4.1148524789303735,0.9
2020-10-01,3.8525319097167063,0.5
2020-11-01,3.58146732152925,0.7
2020-12-01,7.14271205483633,1.8
2021-01-01,4.70763206646995,1.9
2021-02-01,3.57620644314192,1.5
2021-03-01,3.7329956068130623,0.4
2021-04-01,3.90658360944897,0.3
2021-05-01,7.34177012977262,0.5
2021-06-01,9.04307926776794,0.4
2021-07-01,12.9689703179336,1.4
2021-08-01,10.8535604299722,0.6
2021-09-01,11.0839976565359,0.8
2021-10-01,13.8458415913787,0.7
2021-11-01,6.90638048032514,1.0
2021-12-01,7.900556152237519,1.5
2022-01-01,8.927871013213645,0.5
2022-02-01,9.95518587418977,1.1
2022-03-01,11.859640225578849,1.8
2022-04-01,13.9681432574739,1.7
2022-05-01,16.133373044086,1.4
2022-06-01,13.6650966272097,1.7
2022-07-01,13.665979354250373,0.8
2022-08-01,13.666891505525737,1.0
2022-09-01,13.6678036568011,1.6
2022-10-01,10.430070625933448,1.7
2022-11-01,7.08441316070354,0.3
2022-12-01,4.659253451557831,2.1
2023-01-01,2.1532550854405983,1.4
2023-02-01,-0.352743280676635,1.4
2023-03-01,-6.50344186506459,0.2
2023-04-01,-9.52705008897774,0.2
2023-05-01,-12.4531225637324,-1.0
2023-06-01,-15.7368772090681,0.3
2023-07-01,-15.0773091891684,-0.3
2023-08-01,-17.0286709799805,-0.8
2023-09-01,-14.5413208567356,-1.3
2023-10-01,-6.45572762943861,-0.5
2023-11-01,-8.44644004407428,-0.8
2023-12-01,-6.779480098823656,-0.2
2024-01-01,-5.05695482206468,0.5
2024-02-01,-4.21733114811964,-1.4
2024-03-01,-1.60178930552784,0.4
2024-04-01,-4.68242651920205,-0.2
2024-05-01,-5.82127569298689,0.5
2024-06-01,-4.2219246477513215,0.0
2024-07-01,-2.6741655717169,-0.7
2024-08-01,-3.06543400081973,0.9
2024-09-01,-0.0752637105142186,-0.1
2024-10-01,0.9788808025906315,0.5
2024-11-01,2.06816346613231,0.5
2024-12-01,3.12230797923716,1.2
