dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
2005-04-05 21:53:07+00:00,340.2,342.7133333,348.3133333,327.3885714,321.38,321.7985714,318.0185714,318.3085714,311.1055556,305.9455556,306.22,309.05,305.03,305.73,302.78,293.34,299.18,297.14,298.5985714,308.7133333,306.5585714,342.6209091,334.9409091,336.4566667,338.5409091,338.06,341.2255556,345.17,341.99,341.82,338.95,340.0655556,343.7455556,340.03,339.0085714,340.0855556,342.1185714,330.63,328.57,332.1955556,348.6885714,331.9985714,345.51,347.08,317.27,348.6355556,352.11,355.2255556,L5
2005-04-13 21:55:36+00:00,315.1,332.07,327.79,333.1571429,335.37,319.2571429,304.2971429,304.5171429,303.6066667,303.0866667,297.93,293.34,,,,295.95,288.3,281.87,,,,,347.6154545,344.17,342.3154545,340.67,345.0766667,350.9,352.37,338.67,335.04,,,,336.9471429,342.9166667,344.8271429,336.47,344.01,342.0466667,344.2171429,322.4671429,340.51,343.13,344.92,349.7066667,,,L7
2005-04-29 21:55:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.2677778,332.26,319.9171429,,322.7471429,323.87,325.36,316.6277778,,,,,,,,,L7
2005-06-08 21:53:33+00:00,352.24,280.46,323.45,320.9785714,310.54,307.2485714,306.9885714,316.3485714,300.4133333,303.4833333,301.81,309.99,305.33,303.28,,,,,,,,322.7145455,329.4445455,337.81,339.9845455,330.54,340.1933333,346.58,349.26,344.81,342.51,336.9533333,339.3633333,346.89,345.9785714,,315.3085714,,337.5,334.0433333,336.3885714,,,,,,,,L5
2005-08-03 21:55:25+00:00,329.82,316.4533333,327.8733333,324.02,323.61,317.51,305.56,311.55,295.8222222,292.9922222,,,,299.18,295.39,299.17,302.44,303.65,277.79,,290.29,328.6554545,334.0254545,336.1366667,337.8254545,335.77,339.5222222,346.33,351.67,347.26,,,340.8922222,342.18,348.39,337.4222222,352.92,341.1,342.18,332.2322222,324.1,291.71,321.15,344.61,,,346.97,342.7722222,L7
2005-08-19 21:55:20+00:00,360.49,,,352.34,346.01,337.11,331.55,331.63,314.6077778,307.2077778,312.9,312.07,304.76,313.91,,,,328.48,326.97,326.2666667,308.82,,,356.6833333,354.3427273,349.39,356.0377778,367.06,373.69,373.4,360.39,348.5777778,352.1977778,354.96,,,,361.69,362.96,354.7477778,348.23,341.54,341.41,356.64,346.61,359.9777778,364.68,371.3377778,L7
2005-08-27 21:54:08+00:00,,330.2266667,337.1566667,336.2657143,335.32,330.2757143,309.7157143,302.1357143,295.4711111,296.0211111,288.61,280.35,294.04,309.04,313.19,303.3,305.13,301.77,307.7557143,304.5366667,290.3757143,332.1518182,336.0518182,339.5233333,334.0818182,330.87,344.0011111,359.17,363.76,356.2,341.84,332.0911111,330.4711111,323.55,328.0957143,346.7111111,347.8557143,354.62,359.71,344.1511111,334.2457143,317.8057143,328.02,332.06,327.33,343.0811111,363.01,379.9811111,L5
2005-10-22 21:55:15+00:00,346.13,,,,353.55,347.5842857,339.4942857,320.6642857,311.7766667,314.4666667,322.4,329.16,328.71,328.78,329.41,,,320.47,316.5542857,312.75,313.4242857,,,351.39,349.1327273,356.07,375.8966667,374.65,376,367.11,360.87,341.0766667,334.3366667,338.99,356.1242857,,,350.96,356.44,358.8266667,348.0042857,326.4842857,347.83,355.15,352.3,361.2266667,374.73,376.1466667,L7
2005-10-30 21:54:03+00:00,341.07,341.4033333,343.8633333,332.9542857,328.86,321.8542857,319.0842857,314.3442857,300.0488889,308.7288889,317.69,322.48,316.36,311.34,306.88,308.36,305.99,302.13,294.9342857,285.5233333,287.2842857,343.0081818,334.8781818,337.2766667,337.6981818,344.16,353.0088889,358.26,356.76,366.08,359.85,350.3388889,348.1288889,349.96,362.3742857,363.3088889,348.8342857,334.7,338.4,340.9888889,337.2742857,325.4442857,343.24,359.18,350.15,358.2888889,368.37,369.0388889,L5
2006-01-10 21:55:52+00:00,330.12,,,,327.35,331.0342857,322.0842857,319.6442857,308.1244444,312.4644444,311.8,312.79,313.47,312.82,307.11,,,306.09,306.5842857,303.0166667,298.1842857,,,351.0733333,344.1063636,344.65,346.5444444,358.74,365.47,366.71,359.92,346.7044444,343.9744444,348.89,354.8442857,,,348.82,355.66,351.4044444,346.3942857,331.1842857,338.77,346.48,343.72,360.3844444,366.89,371.8544444,L7
