dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
2022-01-21 22:11:59+00:00,407.95,380.2771429,380.03,388.0233333,365.8833333,374.9433333,380.1833333,381.0290909,381.9690909,379.7790909,374.2633333,381.1233333,403.1311111,420.0266667,394.2566667,357.8111111,353.6933333,354.2333333,348.47,359.4233333,358.5966667,361.45,367.82,396.62,373.2411111,355.1666667,351.2366667,L8
2022-01-22 20:50:54+00:00,,,,,,,,,,377.2972727,366.9733333,373.2333333,401.4911111,404.9666667,380.4666667,350.0911111,346.2333333,343.3933333,345.1169231,354.7333333,354.6466667,358.075,371.69,,,,,L7
2022-01-29 20:56:24+00:00,367.27,365.1457143,,,,,,,,,,,,,,,334.02,,,,,,,,,,,L7
2022-02-14 20:54:45+00:00,387.07,374.6742857,381.0069231,379.56,368.3,366.2,373.8,378.44,381.3,371.9,366.02,,,,,,,,,,359.56,358.625,376.02,386.2,370.1233333,351.31,353.95,L7
2022-02-14 22:12:01+00:00,380.37,376.4314286,382.3546154,383.0566667,367.1366667,368.1766667,380.8466667,383.7390909,388.6390909,376.5990909,375.5466667,377.8866667,397.5522222,408.8033333,395.0033333,355.1022222,346.4366667,351.4766667,353.5446154,365.4966667,364.7233333,367.245,373.96,400.64,377.1822222,355.1133333,353.8333333,L9
2022-02-22 22:11:50+00:00,394.47,379.3885714,383.8438462,387.37,369.27,373.69,378.61,389.16,385.22,381.1,373.84,380.61,404.0166667,411.62,,,,,,,,,,,,,,L8
2022-02-23 20:47:43+00:00,369.71,,,,,,,,,,,360.7133333,382.6244444,380.6666667,,338.8744444,333.9433333,341.1033333,343.0192308,351.5133333,350.7466667,348.72,360.34,374.95,356.6344444,338.8066667,336.1966667,L7
2022-03-02 22:11:50+00:00,379.38,370.4342857,378.2869231,378.84,365.24,366.29,374.17,378.53,378.33,373.28,365.64,370.4,393.0233333,397.3,374.51,346.1133333,345.06,349.09,349.6469231,360.09,357.35,363.625,364.88,382.24,364.0733333,344.55,348.61,L9
2022-03-11 22:05:39+00:00,381.14,376.78,383.4023077,382.0633333,370.3333333,365.2833333,381.0433333,380.5190909,386.7290909,379.1990909,369.5533333,375.9533333,395.9877778,405.4466667,393.0266667,350.1377778,355.3433333,352.7433333,357.4723077,365.1433333,369.8566667,366.18,370.43,397.1,374.1677778,360.2466667,353.0166667,L9
2022-03-27 20:44:36+00:00,,,,,,,,,,372.5118182,361.2666667,372.1066667,390.0355556,378.0833333,388.7733333,339.6855556,339.7966667,339.9566667,345.8,356.6066667,352.8633333,362.935,358.64,373.29,358.1055556,340.2533333,344.2133333,L7
2022-03-27 22:05:34+00:00,400.13,382.3385714,385.0353846,384.9966667,374.2566667,383.4666667,387.9066667,388.0054545,387.2954545,382.5054545,374.3466667,378.5766667,400.9255556,402.1633333,413.0233333,354.2955556,360.1066667,358.7166667,360.7853846,371.6366667,365.8933333,368.7,364.91,388.95,381.7155556,349.1133333,350.8933333,L9
2022-04-03 20:50:05+00:00,401.42,383.0442857,,,,,,,391.8472727,378.9972727,370.3666667,379.2766667,398.1588889,420.6233333,394.6733333,357.8988889,351.7966667,352.3466667,350.4961538,361.4766667,365.7333333,370.265,372.21,396.9,383.4588889,348.0533333,354.1533333,L7
