dates,nzd0170-0000,nzd0170-0001,nzd0170-0002,nzd0170-0003,nzd0170-0004,nzd0170-0005,satname
2014-03-29 22:06:15+00:00,330.4133333,335.2268421,347.6276471,354.38,347.0271429,352.4133333,L8
2014-04-06 22:03:00+00:00,311.7566667,,,337.17,331.2371429,328.3066667,L7
2014-04-22 22:02:48+00:00,320.6633333,321.7294737,330.4647059,,,350.1133333,L7
2014-04-30 22:05:46+00:00,332.0733333,348.2589474,336.74,353.61,359.0771429,362.2033333,L8
2014-05-08 22:02:53+00:00,,,,,,343.25,L7
2014-05-16 22:05:33+00:00,336.4366667,349.5973684,340.1094118,355.23,351.1942857,351.3766667,L8
2014-07-27 22:03:14+00:00,322.2033333,329.9184211,332.7894118,349.13,345.5071429,341.4533333,L7
2014-08-04 22:05:38+00:00,338.69,346.8,339.14,355.95,356.28,361.77,L8
2014-08-12 22:03:17+00:00,,331.8615789,340.7217647,357.21,354.92,353.26,L7
2014-08-20 22:06:06+00:00,323.8133333,339.8394737,347.4388235,350.44,350.1214286,354.5933333,L8
2014-10-07 22:06:13+00:00,316.5766667,331.9405263,334.2494118,347.35,348.3128571,345.8366667,L8
2014-11-08 22:05:52+00:00,327.53,321.3984211,338.53,349.36,361.3857143,360.73,L8
2014-12-18 22:04:09+00:00,298.4633333,303.7110526,317.8947059,333.83,330.7285714,,L7
2015-02-20 22:04:48+00:00,322.6066667,309.2152632,332.2688235,337.67,340.28,348.6366667,L7
2015-02-28 22:05:24+00:00,323.5133333,329.4468421,337.0676471,348.1,345.1971429,357.1533333,L8
2015-03-16 22:05:13+00:00,300.7,320.2526316,321.8252941,335.83,330.0214286,330.57,L8
2015-03-24 22:04:40+00:00,,300.0489474,320.2358824,337.53,335.42,337.3833333,L7
2015-05-27 22:05:30+00:00,326.9566667,325.0036842,,,344.3271429,353.9366667,L7
2015-06-04 22:05:12+00:00,335.0233333,330.6863158,340.0288235,348.71,359.8428571,348.0333333,L8
2015-06-12 22:05:14+00:00,328.6633333,327.5031579,337.6252941,346.93,,,L7
2015-06-20 22:05:20+00:00,339.9766667,333.6678947,345.15,354.46,344.0342857,352.8166667,L8
2015-07-22 22:05:37+00:00,332.6433333,330.6647368,341.3929412,348.37,347.8457143,344.3833333,L8
2015-08-07 22:05:40+00:00,322.6233333,317.3652632,331.2776471,,,,L8
2015-08-15 22:05:52+00:00,319.7933333,,,336.31,333.2657143,336.0833333,L7
2015-09-16 22:05:58+00:00,344.67,346.0115789,353.4217647,359.32,361.95,359.82,L7
2015-10-10 22:06:02+00:00,,,,351.9,347.0242857,338.65,L8
2015-12-21 22:06:54+00:00,330.1366667,336.7673684,345.8276471,348.79,347.2585714,345.4666667,L7
2015-12-29 22:06:09+00:00,338.2633333,337.3589474,343.0658824,351.35,342.52,344.1833333,L8
2016-01-22 22:07:21+00:00,321.8133333,,,343.9,338.9414286,340.4933333,L7
2016-05-13 22:08:02+00:00,333.1866667,343.3921053,344.0411765,347.78,347.7028571,356.4966667,L7
2016-05-21 22:05:38+00:00,330.4666667,340.0073684,348.1335294,351.94,355.5914286,356.8966667,L8
2016-06-30 22:08:35+00:00,,337.0931579,344.1052941,360.57,351.5928571,351.0833333,L7
2016-07-16 22:08:36+00:00,,,,,,332.61,L7
2016-07-24 22:05:37+00:00,338.7333333,326.8657895,349.0841176,357.53,355.7157143,349.7933333,L8
2016-08-01 22:08:14+00:00,314.7066667,319.0389474,332.3035294,338.14,335.2457143,322.7066667,L7
2016-08-17 22:08:39+00:00,316.88,304.8289474,325.5088235,328.98,320.31,,L7
2016-09-02 22:08:19+00:00,329.0133333,325.6215789,335.8111765,350.5,347.5614286,345.0533333,L7
2016-09-10 22:06:15+00:00,326.2833333,319.5363158,331.5429412,342.29,345.19,333.5933333,L8
2016-09-18 22:08:45+00:00,323.6833333,320.5194737,336.2205882,,,340.4433333,L7
2016-10-12 22:06:21+00:00,330.3333333,337.2378947,333.5529412,354.4,348.0842857,354.2833333,L8
2016-10-20 22:08:45+00:00,,,,362.87,364.4885714,344.8266667,L7
2016-11-21 22:08:33+00:00,335.7966667,326.3894737,336.58,353.65,344.1785714,,L7
2017-01-16 22:05:47+00:00,345.66,336.4552632,347.5141176,361.1,366.6242857,351.44,L8
2017-02-01 22:06:04+00:00,344.5033333,332.3689474,354.1858824,360.48,366.54,354.3433333,L8
2017-02-09 22:07:31+00:00,319.01,317.8989474,328.7788235,340.33,327.69,326.5,L7
2017-02-25 22:08:05+00:00,324.85,326.9294737,334.9494118,344.43,337.57,330.39,L7
2017-03-05 22:05:27+00:00,336.1566667,327.7394737,359.58,352.91,357.4885714,362.7866667,L8
2017-03-13 22:08:12+00:00,316.4966667,320.47,342.3805882,,,338.8566667,L7
2017-04-06 22:05:33+00:00,326.3333333,330.9378947,347.1129412,347.18,348.2942857,347.5133333,L8
2017-04-30 22:08:04+00:00,336.96,333.5736842,354.6582353,356.27,357.2871429,347.83,L7
2017-05-08 22:05:23+00:00,325.88,331.4457895,349.1170588,345.23,348.9557143,349.83,L8
2017-05-24 22:05:10+00:00,337.8833333,338.8221053,351.35,357.93,347.0357143,355.9033333,L8
2017-06-25 22:05:47+00:00,331.01,328.6810526,339.2011765,350.8,334.87,340.37,L8
2017-07-03 22:08:17+00:00,324.2066667,333.8447368,351.6864706,345.58,344.3342857,,L7
2017-07-11 22:05:50+00:00,337.8466667,347.0115789,341.6964706,352.19,343.7557143,347.1866667,L8
2017-08-12 22:05:40+00:00,338.3733333,344.7842105,343.2982353,354.75,342.7485714,344.3633333,L8
2017-08-20 22:08:38+00:00,,,,,330.2371429,327.0466667,L7
2017-08-28 22:05:44+00:00,329.58,327.0678947,341.1294118,349.03,338.8757143,340.47,L8
2017-11-08 22:08:39+00:00,343.22,353.6168421,359.59,361.35,368.9114286,355.2,L7
2017-12-02 22:05:46+00:00,325.46,339.0415789,334.24,348.62,345.1642857,336.34,L8
2018-01-11 22:08:02+00:00,320.5866667,326.7936842,333.1411765,339.87,336.2771429,332.7166667,L7
2018-01-27 22:07:23+00:00,330.5633333,336.2294737,341.7588235,348.38,,,L7
2018-04-01 22:06:35+00:00,331.6233333,327.4705263,336.3158824,345.49,331.6242857,334.2833333,L7
2018-04-17 22:06:19+00:00,345.1566667,348.8073684,357.2394118,354.11,359.9142857,351.2466667,L7
2018-04-25 22:05:14+00:00,344.2733333,340.9963158,348.5370588,357.95,350.6071429,354.9933333,L8
2018-05-03 22:06:02+00:00,333.1466667,326.8178947,338.91,339.87,339.1242857,335.4466667,L7
2018-05-19 22:06:11+00:00,346.71,348.6221053,355.3523529,359.94,366.3,353.51,L7
2018-05-27 22:04:28+00:00,338.44,342.1357895,353.9970588,352,354.0157143,355.43,L8
2018-06-12 22:04:53+00:00,317.7833333,335.5794737,335.5788235,343.6,343.4014286,337.2333333,L8
2018-06-28 22:04:40+00:00,331.6433333,337.4268421,341.2335294,348.01,343.87,360.7133333,L8
2018-07-06 22:05:18+00:00,338.2033333,342.8494737,357.4747059,358.57,356.4042857,362.7533333,L7
2018-07-22 22:04:37+00:00,333.0033333,341.7478947,335.9729412,347.4,340.7942857,,L7
2018-08-15 22:05:28+00:00,,,344.3729412,353.19,366.9414286,351.2933333,L8
2018-08-23 22:04:25+00:00,345.14,347.24,356.0141176,357.11,349.8771429,354.62,L7
2018-08-31 22:05:11+00:00,307.3466667,317.3478947,329.21,328.39,333.2842857,331.2666667,L8
2018-09-08 22:04:05+00:00,,332.2242105,337.7511765,340.74,338.6485714,333.86,L7
2018-09-24 22:03:19+00:00,328.8633333,333.2721053,336.1158824,,,345.8333333,L7
2018-10-02 22:05:23+00:00,339.5566667,347.9952632,345.6029412,351.35,363.8271429,367.9966667,L8
