dates,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0024,satname
2005-03-30 21:43:20+00:00,,366.73,362.2055556,356.9078947,357.07,356.4,355.8466667,354.2615385,357.4942857,360.6242857,364.8966667,363.2,369.08,,,,,355.2542857,357.82,355.7355556,363.2,363.7942857,328.1736364,L7
2005-04-06 21:49:28+00:00,,,,355.84,353.9841176,353.025,352.5,354.3607692,355.5071429,357.5171429,362.26,361.365,366.555,,,,,,353.795,354.2866667,361.9041176,352.7571429,351.3063636,L7
2005-04-15 21:43:13+00:00,,,,,,353.71,353.7166667,352.4838462,353.5,360.19,359.9866667,360.23,361.92,362.3370588,366.98,,,,,,361.4570588,359.71,320.4354545,L7
2005-04-22 21:49:23+00:00,,,,,,358.895,354.9766667,356.1576923,355.4642857,357.9342857,364.5966667,361.655,363.145,365.2670588,364.505,,,,,,360.7370588,354.5842857,340.5527273,L7
2005-05-01 21:43:15+00:00,,,,,348.5376471,346.23,359.9666667,356.6184615,397.6742857,365.4742857,356.0066667,351.26,352.55,355.8476471,360.03,,,,,357.3322222,,,,L7
2005-05-08 21:49:28+00:00,,,,,360.5311765,359.97,357.7366667,356.5307692,361.1828571,364.2328571,366.1266667,366.75,370.76,370.1111765,,,,,,,365.9111765,361.0028571,,L7
2005-05-09 21:40:56+00:00,384.77,379.895,373.1333333,376.6852632,361.8082353,361.385,357.62,356.84,363.3014286,359.9114286,369.44,369.485,373.995,375.8382353,375.505,379.9914286,370.5914286,363.1114286,366.055,354.5333333,361.9282353,362.5314286,,L5
2005-05-24 21:49:26+00:00,373.86,369.97,366.93,364.5547368,367.0076471,,,,,,,365.3,365.12,364.8076471,366.73,366.3014286,355.0114286,353.4714286,355.09,353.06,,,,L7
2005-06-01 21:47:18+00:00,359.16,349.28,351.4588889,342.4031579,347.5405882,344.78,337.7466667,334.0738462,335.4971429,337.2071429,340.6966667,340.79,344.23,344.2005882,345.72,343.9771429,334.3471429,331.8671429,336.69,,346.8005882,332.1171429,,L5
2005-06-02 21:43:12+00:00,355.43,343.085,340.7666667,340.4952632,339.3764706,336.935,334.69,334.2915385,333.1257143,337.0957143,337.84,339.835,,,,,,326.5057143,332.845,332.0966667,339.1564706,331.9557143,,L7
2005-06-09 21:49:20+00:00,,,,,,,358.15,356.4746154,361.8471429,360.5571429,363.65,362.31,364.53,366.1070588,365.62,369.3771429,,,,,,358.9871429,,L7
2005-06-10 21:41:12+00:00,378.61,383.625,369.3088889,370.5689474,366.9452941,361.415,358.4866667,357.6738462,358.7314286,364.5414286,366.9466667,368.625,369.105,374.8252941,377.175,373.8614286,368.9514286,364.8114286,368.675,,366.7052941,362.4214286,,L5
2005-06-26 21:41:16+00:00,369.56,360.74,357.0333333,356.0973684,359.1147059,361.16,358.12,359.9638462,358.7785714,360.1985714,,,,,,,,,,,,,,L5
