dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0004,nzd0070-0005,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,satname
2005-09-03 21:59:56+00:00,446.0233333,439.3428571,433.5233333,427.75,400.2628571,408.39,393.54,389.04,368.27,398.06,381.9228571,377.7322222,374.14,365.91,364.9528571,372.19,360.0033333,383.08,407.81,409.05,421.84,386.07,411.36,429.71,421.8,394.2,398.8,391.6,410.94,403.1533333,393.55,393.05,391.3328571,L5
2005-09-11 22:00:53+00:00,,,,,419.81,,,,,,,,391.15,394.53,,,,,,,,,,,,,,,,,,,,L7
2005-11-14 22:01:17+00:00,,,,,,399.03,390.02,378.19,378.83,389.99,376.6042857,374.94,373.5,375.51,,,,,,,,,392.89,402.04,390.36,386.01,396.96,395.72,397.82,388.25,387.44,,,L7
2005-11-21 22:07:31+00:00,,,,,,,379.29,352.06,352.1,346.7,354.6542857,361.2366667,366.88,371.61,376.1742857,375.75,378.21,370.12,366.84,,,,,,380.81,374.56,378.09,368.45,369.22,372.21,365.8,360.78,372.3942857,L7
2005-11-22 22:00:23+00:00,433.28,431.2057143,431.36,416.46,414.5057143,401.44,404.88,395.4,389.53,382.81,388.2057143,387.4933333,391.65,393.88,397.8057143,398.45,404.61,387.82,382.66,390.69,391.81,386.62,384.73,393.83,396.08,396.33,401.43,392.72,386.66,387.39,370.5,370.22,382.4857143,L5
2005-11-30 22:01:24+00:00,426.7833333,435.2342857,,,,,,,375.42,384.39,372.8642857,371.1055556,372.02,377.09,383.4242857,391.52,375.6633333,,,,,,,,,,390.67,390.53,391.29,381.7033333,386.03,380.71,386.4342857,L7
2005-12-16 22:01:26+00:00,,,,,,403.05,396.53,393.56,392.56,398.69,387.5971429,383.7355556,384.29,381.05,,,,,,,,,402.18,417.04,408.55,403.95,407.88,415.88,420.73,403.8533333,397.39,,,L7
2006-01-08 22:07:49+00:00,,,420.27,416.38,430.9857143,426.39,415.52,399.45,388.69,389.58,403.8257143,414.5666667,418.77,,,,,,389.8,405.03,391.88,394.33,410.42,412.81,425.48,417.68,408.26,392.96,395.92,402.9,,,,L7
2006-02-18 22:01:53+00:00,437.5466667,,,,,,,379.24,373.26,361.8,359.7528571,369.9744444,383.48,394.49,408.9628571,408.09,395.7566667,,,,,,,,,406.58,393.48,360.86,377.42,385.5266667,384.06,376.06,371.3628571,L7
2006-04-06 22:09:08+00:00,439.5333333,427.0085714,419.6133333,410.34,424.2785714,426.15,411.48,,393.8,370.14,360.3385714,365.3222222,379.3,397.29,426.9385714,420.7,410.0333333,383.25,391.88,400.93,397.37,398.24,401.55,405.5,409.28,418.65,408.4,367.65,367.49,375.8933333,384.22,392.94,390.6985714,L5
